game_id,date,player,rank,substitute_player,winner,score,color,num_of_cities,num_of_settlement,num_of_roads,num_of_dev_cards,buy_dev_card_first,builds_city_first,builds_settlement_first,num_of_harbor,which_resources_first,cashier,time_in_min,is_extension,start_time,longest_road,largest_army,first_brick_harbor,first_ore_harbor,first_grain_harbor,first_wool_harbor,first_lumber_harbor,first_3to1_harbor,num_of_brick_harbor,num_of_grain_harbor,num_of_3to1_harbor,num_of_lumber_harbor,num_of_ore_harbor,num_of_wool_harbor,initial_dices
1.0,2022-02-22,B,1.0,,A,7.0,Blue,2.0,2.0,5.0,4.0,1.0,0.0,0.0,2.0,"['Wool', 'Wool', 'Grain']",0.0,105.0,0.0,,,,,,,,,,,,,,,,
1.0,2022-02-22,A,2.0,,A,10.0,White,5.0,0.0,7.0,2.0,0.0,1.0,0.0,2.0,"['Lumber', 'Lumber', 'Grain']",1.0,105.0,0.0,,,,,,,,,,,,,,,,
1.0,2022-02-22,V,4.0,CC,A,8.0,Red,2.0,3.0,10.0,2.0,0.0,0.0,1.0,3.0,"['Lumber', 'Lumber', 'Brick']",0.0,105.0,0.0,,,,,,,,,,,,,,,,
1.0,2022-02-22,M,3.0,E,A,7.0,Orange,2.0,1.0,7.0,1.0,0.0,0.0,0.0,0.0,"['Ore', 'Lumber', 'Wool']",0.0,105.0,0.0,,,,,,,,,,,,,,,,
2.0,2022-03-06,A,2.0,,CC,5.0,White,2.0,1.0,4.0,1.0,0.0,0.0,1.0,0.0,"['Wool', 'Brick', 'Lumber']",1.0,45.0,0.0,,,,,,,,,,,,,,,,
2.0,2022-03-06,F,1.0,,CC,6.0,Orange,1.0,2.0,7.0,0.0,0.0,0.0,0.0,1.0,"['Ore', 'Grain', 'Wool']",0.0,45.0,0.0,,,,,,,,,,,,,,,,
2.0,2022-03-06,CC,3.0,,CC,10.0,Red,3.0,0.0,4.0,8.0,1.0,1.0,0.0,1.0,"['Grain', 'Wool', 'Wool']",0.0,45.0,0.0,,,,,,,,,,,,,,,,
3.0,2022-03-08,B,4.0,F,M,6.0,Red,0.0,4.0,10.0,3.0,1.0,0.0,1.0,1.0,"['Ore', 'Grain', 'Lumber']",0.0,120.0,0.0,22:15:00,,,,,,,,,,,,,,,
3.0,2022-03-08,A,3.0,,M,7.0,White,2.0,1.0,6.0,2.0,0.0,1.0,0.0,1.0,"['Grain', 'Grain', 'Lumber']",1.0,120.0,0.0,22:15:00,,,,,,,,,,,,,,,
3.0,2022-03-08,CC,1.0,,M,8.0,Blue,1.0,1.0,4.0,8.0,0.0,0.0,0.0,2.0,"['Wool', 'Wool']",0.0,120.0,0.0,22:15:00,,,,,,,,,,,,,,,
3.0,2022-03-08,M,2.0,,M,11.0,Orange,5.0,1.0,8.0,1.0,0.0,0.0,0.0,1.0,"['Ore', 'Wool', 'Wool']",0.0,120.0,0.0,22:15:00,,,,,,,,,,,,,,,
4.0,2022-03-09,CC,1.0,,B,4.0,Blue,2.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,"['Brick', 'Ore', 'Grain']",0.0,70.0,0.0,22:10:00,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,
4.0,2022-03-09,M,3.0,,B,6.0,Orange,2.0,2.0,4.0,0.0,0.0,0.0,1.0,0.0,"['Wool', 'Grain', 'Lumber']",0.0,70.0,0.0,22:10:00,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,
